block,basefee,gas_used,demand_lambda,block_max_gas,moving_avg_window
55,4.07922143,199941000,15000,300000000,50
56,4.151790583,190974000,15000,300000000,50
57,4.223680995,195405000,15000,300000000,50
58,4.294855899,195300000,15000,300000000,50
59,4.365004982,191268000,15000,300000000,50
60,4.434217199,192234000,15000,300000000,50
61,4.501993038,188412000,15000,300000000,50
62,4.568502529,187152000,15000,300000000,50
63,4.633570285,185052000,15000,300000000,50
64,4.697138124,186459000,15000,300000000,50
65,4.759000259,187698000,15000,300000000,50
66,4.819347884,186627000,15000,300000000,50
67,4.878000504,185535000,15000,300000000,50
68,4.934953228,185346000,15000,300000000,50
69,4.989925606,181713000,15000,300000000,50
70,5.042828877,180810000,15000,300000000,50
71,5.093436287,181419000,15000,300000000,50
72,5.14189092,183036000,15000,300000000,50
73,5.187973122,178647000,15000,300000000,50
74,5.231676939,176484000,15000,300000000,50
75,5.272581286,174636000,15000,300000000,50
76,5.311055944,179508000,15000,300000000,50
77,5.347103652,175770000,15000,300000000,50
78,5.380266303,171885000,15000,300000000,50
79,5.410926589,177660000,15000,300000000,50
80,5.438996917,173964000,15000,300000000,50
81,5.464710405,177324000,15000,300000000,50
82,5.487452168,174762000,15000,300000000,50
83,5.507506917,172242000,15000,300000000,50
84,5.524801193,170793000,15000,300000000,50
85,5.539320724,171213000,15000,300000000,50
86,5.551070465,172767000,15000,300000000,50
87,5.560252557,171696000,15000,300000000,50
88,5.567080902,174048000,15000,300000000,50
89,5.571644305,173502000,15000,300000000,50
90,5.573771514,173103000,15000,300000000,50
91,5.573022934,168861000,15000,300000000,50
92,5.569833916,174027000,15000,300000000,50
93,5.563919376,171276000,15000,300000000,50
94,5.55557955,169680000,15000,300000000,50
95,5.54495497,169197000,15000,300000000,50
96,5.532189507,170415000,15000,300000000,50
97,5.517598335,173733000,15000,300000000,50
98,5.501023646,171759000,15000,300000000,50
99,5.482651635,172998000,15000,300000000,50
100,5.462579866,172326000,15000,300000000,50
101,5.44122214,173691000,15000,300000000,50
102,5.418233019,169701000,15000,300000000,50
103,5.393720759,171192000,15000,300000000,50
104,5.3680375,175350000,15000,300000000,50
105,5.341111767,176106000,15000,300000000,50
106,5.313488391,176358000,15000,300000000,50
107,5.284856935,175098000,15000,300000000,50
108,5.255356948,177156000,15000,300000000,50
109,5.225199944,176610000,15000,300000000,50
110,5.194542985,180159000,15000,300000000,50
111,5.163522504,178605000,15000,300000000,50
112,5.132166786,177702000,15000,300000000,50
113,5.100732469,180138000,15000,300000000,50
114,5.06925189,182070000,15000,300000000,50
115,5.037534108,179718000,15000,300000000,50
116,5.005811667,182847000,15000,300000000,50
117,4.974189193,183666000,15000,300000000,50
118,4.942389877,178248000,15000,300000000,50
119,4.910794957,181734000,15000,300000000,50
120,4.879604416,184674000,15000,300000000,50
121,4.848453489,178374000,15000,300000000,50
122,4.81755573,184086000,15000,300000000,50
123,4.787072858,182889000,15000,300000000,50
124,4.757286848,186354000,15000,300000000,50
125,4.728231775,185388000,15000,300000000,50
126,4.69972379,186837000,15000,300000000,50
127,4.671988802,187761000,15000,300000000,50
